Title,Author,genres,Link;;;;;;;;;;;;;;
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Young Adult;Magic;Childrens;Adventure;Audiobook;Middle Grade;Classics;Science Fiction Fantasy;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.5pOtJRCkO-0Hl6hVUr4nTgHaHa?w=194&h=194&c=7&r=0&o=5&pid=1.7
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Young Adult;Magic;Childrens;Adventure;Audiobook;Middle Grade;Classics;Science Fiction Fantasy;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.zvBPEs6ehFyqb3CIPbzXzwHaFj?w=210&h=180&c=7&r=0&o=5&pid=1.7
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Young Adult;Magic;Childrens;Middle Grade;Audiobook;Adventure;Classics;Science Fiction Fantasy;;;;;;;,https://tse3.mm.bing.net/th/id/OIP.ZVO_GHRqoPmMWn38WAckcAHaEK?w=165&h=180&c=7&r=0&o=5&pid=1.7
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Young Adult;Magic;Childrens;Middle Grade;Adventure;Audiobook;Classics;Science Fiction Fantasy;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.MjsCn5hBzx9lvDsoS88xfQHaLH?w=119&h=180&c=7&r=0&o=5&pid=1.7
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Fantasy;Young Adult;Fiction;Magic;Adventure;Supernatural;Mystery;Childrens;Paranormal;Middle Grade;;;;;,https://tse2.mm.bing.net/th/id/OIP.oS4uazTvvIdSEPBL2qjhHwHaFO?w=231&h=180&c=7&r=0&o=5&pid=1.7
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Young Adult;Magic;Childrens;Classics;Adventure;Science Fiction Fantasy;Novels;Paranormal;Wizards;;;;;;,https://tse1.mm.bing.net/th/id/OIP.CpF4wpRXYWMvN47-NET4DQHaLH?w=115&h=180&c=7&r=0&o=5&pid=1.7
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Humor;Classics;Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature;British Literature;;;;;;;,https://tse2.mm.bing.net/th/id/OIP.1p_z1hli1Co6guUL1LqmoAHaHa?w=194&h=194&c=7&r=0&o=5&pid=1.7
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Humor;Classics;Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature;British Literature;;;;;;;,https://tse3.mm.bing.net/th/id/OIP.3_Z3cBd4Yafk3Tjyh0lx-AHaDt?w=194&h=97&c=7&r=0&o=5&pid=1.7
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Humor;Classics;Comedy;Science Fiction Fantasy;Audiobook;Adventure;Novels;;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.c-93lU1ZE9lPtB7OCYXJ0QHaLH?w=115&h=180&c=7&r=0&o=5&pid=1.7
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Humor;Classics;Comedy;Science Fiction Fantasy;Audiobook;Adventure;Novels;;;;;;;;,https://tse3.mm.bing.net/th/id/OIP.6lE_KV_vkckc3Ey-TSvHuwHaLJ?w=194&h=292&c=7&r=0&o=5&pid=1.7
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Humor;Classics;Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature;British Literature;;;;;;;,https://tse2.mm.bing.net/th/id/OIP.SsfgDrIdACubLya3p8giyQHaLL?w=194&h=293&c=7&r=0&o=5&pid=1.7
A Short History of Nearly Everything,Bill Bryson,Nonfiction;History;Audiobook;Humor;Physics;Popular Science;Historical;Philosophy;Unfinished;;;;;;,https://tse1.mm.bing.net/th/id/OIP.76NYSk-oOkp3ZDHjxesvgAHaFj?w=215&h=180&c=7&r=0&o=5&pid=1.7
Bill Bryson's African Diary,Bill Bryson,Nonfiction;Cultural;Autobiography;Memoir;Humor;Eastern Africa;Kenya;Biography;Adventure;Travelogue;History;;;;,https://tse3.mm.bing.net/th/id/OIP.8j9LxD_2Fm_afAt1J3CRVAHaO0?w=175&h=350&c=7&r=0&o=5&pid=1.7
